id,prefecture,count,group
1497,東京都,274588,1
1478,京都府,55839,2
1460,千葉県,41314,2
1475,神奈川県,35441,2
1457,愛知県,33358,2
1489,大阪府,26606,3
1467,広島県,22563,3
1468,北海道,22222,3
1491,埼玉県,20381,3
1466,群馬県,17369,3
1484,奈良県,16195,3
1482,長野県,15569,3
1488,沖縄県,14852,3
1469,兵庫県,13007,3
1463,福岡県,12471,3
1479,三重県,10416,4
1495,栃木県,8736,4
1494,静岡県,8219,4
1503,山梨県,7179,4
1486,大分県,6858,4
1487,岡山県,6691,4
1470,茨城県,5976,4
1459,青森県,5878,4
1480,宮城県,5730,4
1465,岐阜県,5677,4
1471,石川県,5291,4
1500,和歌山県,5244,4
1473,香川県,4961,4
1485,新潟県,4583,4
1492,滋賀県,4515,4
1461,愛媛県,4097,4
1477,熊本県,4079,4
1458,秋田県,4064,4
1499,富山県,4044,4
1464,福島県,3759,4
1483,長崎県,3668,4
1501,山形県,3036,4
1474,鹿児島県,3032,4
1498,鳥取県,3020,4
1490,佐賀県,2852,4
1462,福井県,2698,4
1496,徳島県,2361,4
1476,高知県,2286,4
1502,山口県,2222,4
1472,岩手県,2099,4
1493,島根県,1610,4
1481,宮崎県,1152,4
