"code","prefecture","city","count"
"13113","東京都","渋谷区","56911"
"13104","東京都","新宿区","43788"
"13103","東京都","港区","32316"
"13101","東京都","千代田区","21717"
"13102","東京都","中央区","20164"
"13106","東京都","台東区","16942"
"13108","東京都","江東区","8946"
"13107","東京都","墨田区","7825"
"13116","東京都","豊島区","6895"
"13111","東京都","大田区","5545"
"13105","東京都","文京区","5249"
"13114","東京都","中野区","3099"
"13112","東京都","世田谷区","2890"
"13109","東京都","品川区","2418"
"13123","東京都","江戸川区","2005"
"13117","東京都","北区","1881"
"13110","東京都","目黒区","1862"
"13115","東京都","杉並区","1014"
"13118","東京都","荒川区","848"
"13120","東京都","練馬区","730"
"13121","東京都","足立区","677"
"13122","東京都","葛飾区","591"
"13119","東京都","板橋区","470"
